timestamp,location,traffic_volume,temperature,weather,is_holiday,incident,event
2023-01-01 00:00:00,D,88,27.43,Clear,1,0,Concert
2023-01-01 00:15:00,C,204,36.72,Fog,0,0,Concert
2023-01-01 00:30:00,E,311,16.88,Snow,0,0,Sports
2023-01-01 00:45:00,D,250,25.95,Fog,1,1,Concert
2023-01-01 01:00:00,D,258,12.65,Snow,1,0,Festival
2023-01-01 01:15:00,C,189,31.41,Snow,1,0,Concert
2023-01-01 01:30:00,D,267,38.65,Clear,0,0,Parade
2023-01-01 01:45:00,C,229,2.94,Cloudy,1,1,Parade
2023-01-01 02:00:00,A,256,23.3,Rain,0,0,Festival
2023-01-01 02:15:00,C,207,6.31,Clear,0,1,Parade
2023-01-01 02:30:00,D,111,2.92,Cloudy,1,0,Parade
2023-01-01 02:45:00,A,197,0.72,Fog,0,1,Concert
2023-01-01 03:00:00,C,218,22.72,Cloudy,0,0,Festival
2023-01-01 03:15:00,D,182,28.23,Cloudy,1,0,Sports
2023-01-01 03:30:00,A,50,8.83,Clear,1,1,Sports
2023-01-01 03:45:00,B,104,1.98,Cloudy,0,0,Festival
2023-01-01 04:00:00,A,197,3.5,Cloudy,0,0,Concert
2023-01-01 04:15:00,E,166,22.44,Clear,1,1,Festival
2023-01-01 04:30:00,D,368,13.7,Cloudy,1,0,Parade
2023-01-01 04:45:00,B,165,0.92,Snow,0,0,Festival
2023-01-01 05:00:00,E,177,39.67,Rain,1,1,Concert
2023-01-01 05:15:00,B,157,6.86,Clear,1,1,Sports
2023-01-01 05:30:00,B,129,13.1,Rain,0,1,Sports
2023-01-01 05:45:00,E,287,1.61,Fog,1,1,None
2023-01-01 06:00:00,B,82,32.16,Cloudy,0,0,None
2023-01-01 06:15:00,E,146,4.04,Rain,1,1,Concert
2023-01-01 06:30:00,A,290,2.78,Cloudy,0,1,None
2023-01-01 06:45:00,C,113,25.03,Fog,1,1,Sports
2023-01-01 07:00:00,C,240,34.58,Fog,1,1,None
2023-01-01 07:15:00,E,323,36.13,Snow,0,1,Parade
2023-01-01 07:30:00,B,87,10.28,Snow,0,1,Sports
2023-01-01 07:45:00,D,61,15.75,Cloudy,1,0,Festival
2023-01-01 08:00:00,C,263,21.89,Rain,0,0,Parade
2023-01-01 08:15:00,E,337,21.79,Fog,1,0,Parade
2023-01-01 08:30:00,B,221,34.19,Fog,0,0,Concert
2023-01-01 08:45:00,A,186,34.96,Cloudy,1,0,None
2023-01-01 09:00:00,E,150,12.84,Rain,0,1,Festival
2023-01-01 09:15:00,B,222,6.93,Snow,0,1,Festival
2023-01-01 09:30:00,A,230,2.67,Cloudy,1,0,Concert
2023-01-01 09:45:00,E,290,30.04,Cloudy,0,1,Sports
2023-01-01 10:00:00,C,167,29.41,Snow,0,1,Festival
2023-01-01 10:15:00,B,130,9.92,Clear,1,0,Parade
2023-01-01 10:30:00,D,288,36.75,Snow,1,1,Sports
2023-01-01 10:45:00,C,73,30.83,Rain,1,1,Concert
2023-01-01 11:00:00,A,153,29.19,Snow,1,0,Parade
2023-01-01 11:15:00,C,139,29.41,Rain,0,1,None
2023-01-01 11:30:00,E,193,10.04,Fog,0,0,Festival
2023-01-01 11:45:00,D,292,4.81,Cloudy,0,0,Festival
2023-01-01 12:00:00,B,323,6.65,Fog,0,0,Concert
2023-01-01 12:15:00,C,50,39.24,Cloudy,0,0,Festival
2023-01-01 12:30:00,E,233,33.24,Cloudy,0,0,Concert
2023-01-01 12:45:00,C,255,22.11,Fog,1,0,None
2023-01-01 13:00:00,A,258,1.93,Cloudy,1,0,None
2023-01-01 13:15:00,D,203,32.2,Snow,1,1,Concert
2023-01-01 13:30:00,E,83,25.13,Rain,1,0,None
2023-01-01 13:45:00,C,132,5.87,Snow,1,1,Parade
